0	2626
1	2236
2	1690
3	211
3	1442
3	3256
3	3414
5	583
5	2170
5	3941
5	4442
5	4891
5	5955
6	4219
7	1753
7	3868
8	752
10	105
11	380
12	1692
13	3240
14	845
15	575
15	3233
15	5074
18	3350
19	3333
20	447
20	1215
20	4967
20	5370
20	5418
20	5496
20	5795
21	326
21	3924
22	869
22	1231
23	2992
24	1588
25	234
26	1259
26	4032
27	1657
28	819
28	2922
29	4166
30	4019
31	2432
31	4871
32	3214
32	3820
32	5621
32	5793
32	6023
35	2757
36	2972
37	1182
38	4782
39	42
41	3769
43	5314
44	351
44	1482
45	4162
46	4525
47	792
47	2015
47	3810
47	4186
47	5943
47	6059
47	6065
47	6159
48	3016
49	3895
50	29
50	4153
51	2268
52	949
53	1305
54	961
55	3705
56	3512
57	3813
58	3635
58	4582
59	1536
61	1979
62	3003
63	3265
64	797
65	2738
65	4383
67	2
70	3228
71	2135
72	1593
73	1237
73	1761
73	2029
74	4364
76	5107
77	320
80	4325
81	1225
81	4260
81	4527
82	4735
83	1841
84	2324
84	2789
84	2849
84	4351
86	2461
87	27
88	3159
89	1191
90	3954
92	155
93	3423
94	2126
96	1251
97	4332
98	3359
99	3953
101	4138
102	4225
103	1229
104	1367
105	4591
106	4387
108	5317
109	2814
110	3666
112	3349
112	4497
113	4466
113	4490
114	5192
117	534
117	3470
118	3072
119	4441
120	1056
121	2288
122	3442
123	4877
123	5337
124	577
124	5957
125	3291
126	4592
127	2202
127	2330
127	3809
128	855
128	1449
129	1523
129	1752
129	2638
130	255
131	4277
132	1978
133	2869
133	4745
135	1223
136	2291
137	434
137	2487
137	3024
139	1711
141	159
141	1727
141	3598
141	3932
142	3221
142	5038
142	5739
143	3343
144	2966
146	106
147	379
148	5125
149	490
150	4986
152	3433
153	4124
154	1544
154	1582
155	5036
156	607
157	3190
158	1471
159	2180
159	2452
159	3745
159	5461
159	6029
160	3467
161	2986
163	880
164	2782
165	3527
165	4969
166	2079
166	3603
167	3910
168	3966
169	3208
170	4462
171	166
171	1203
171	4905
172	827
174	2503
174	5351
174	5363
174	5489
174	5491
174	5511
174	5533
174	5555
174	5577
174	5668
174	5669
174	5701
174	5703
174	5768
174	5779
174	5787
174	5811
174	5832
174	5841
174	5853
174	5868
174	5922
174	5978
174	6067
174	6101
174	6142
174	6169
176	1338
176	5303
177	3257
177	3729
177	4711
178	4494
179	4629
180	919
181	1826
182	2501
183	13
183	782
183	1538
184	5037
185	1204
185	5275
186	1666
187	1205
188	2335
189	392
191	754
191	1019
192	2645
192	4922
193	3341
194	560
194	2993
194	3765
195	4553
196	4013
197	1941
198	3653
199	2124
199	3956
201	4523
202	1241
203	2930
204	2037
205	590
206	1451
207	501
207	5057
209	2229
211	5281
213	2123
214	481
215	71
215	587
216	828
217	833
217	6008
218	4738
219	3630
220	3818
221	5045
222	3583
222	3908
223	2380
223	2396
224	1452
224	4328
225	1635
226	1960
227	2371
227	4415
228	3555
229	390
229	3988
229	5692
230	524
230	3047
231	1519
232	2502
232	2693
232	2840
232	4426
232	4566
232	5540
232	5584
232	5729
232	5836
232	5964
232	5971
232	6000
232	6026
232	6052
233	81
234	5079
235	2159
236	606
237	3996
238	1062
238	5988
239	4781
240	2588
241	414
242	2017
243	3851
244	116
244	3032
244	3383
245	1654
246	2068
247	310
247	767
247	2943
248	3370
249	1571
250	2007
252	2490
252	3459
253	4791
254	2651
254	6046
255	2946
255	4601
256	319
257	2102
258	2136
260	1172
261	2069
261	3740
263	4950
264	2165
265	3115
266	5078
267	537
268	1493
268	1691
268	4574
270	3241
271	3117
273	2391
274	5273
275	2996
277	3065
278	1023
279	4710
280	2163
281	95
282	553
282	3139
282	5104
282	5361
283	5226
285	527
285	3300
285	4761
285	5644
286	4805
287	1110
288	3127
289	4342
290	4038
291	4154
291	4311
292	3394
293	3557
294	4935
295	3098
295	5505
296	911
296	2431
296	2985
297	3075
298	1086
298	5956
299	3746
300	4634
301	251
302	1419
303	2898
304	1488
305	4789
306	1483
306	1938
307	2759
308	2021
308	3543
309	1163
310	3133
311	1171
311	2305
311	3027
311	5471
312	2272
313	2363
314	1470
315	3853
316	4617
317	2111
318	1835
319	332
320	3860
321	4346
323	4168
324	4418
325	127
326	2544
327	344
328	506
328	1151
328	3821
329	4624
330	1103
331	1397
332	391
334	3969
335	359
336	4129
338	3754
339	1185
340	5139
341	1342
342	3825
343	493
344	129
344	397
344	2844
345	2517
346	893
347	4563
348	4506
349	2963
349	3611
350	3970
351	503
351	4572
351	4674
352	1074
352	2090
352	2979
353	3375
354	2570
354	4029
355	960
356	460
356	1454
356	1650
356	4355
357	154
357	3605
358	1569
360	741
361	192
362	4974
363	1766
364	2337
366	133
367	2031
368	3992
369	70
370	4907
371	3169
371	3902
372	1871
373	2070
373	2606
373	2607
374	2148
375	305
376	2701
377	746
378	170
379	1005
379	2790
380	1164
381	1778
382	3991
383	2415
384	219
385	1224
386	5103
387	1405
387	2998
387	6017
388	2897
389	468
389	2499
389	5295
390	4739
391	2598
392	1655
392	1976
392	3998
392	4676
393	471
393	3790
394	4259
395	4066
396	1663
397	846
398	3720
399	526
400	5256
401	2879
402	2824
403	3829
403	4656
404	5005
405	4473
406	3849
407	46
409	169
409	3862
409	4109
409	5427
410	4384
411	2156
412	1166
413	1014
413	2358
413	4211
413	5208
414	2326
415	517
416	1073
417	1797
419	2056
419	3050
419	4020
421	2802
422	535
422	1864
423	2052
424	3290
425	2414
426	910
427	4502
428	2829
428	4064
429	1084
430	860
431	1945
432	1996
433	3736
434	386
435	3099
436	3000
437	1515
437	1890
437	3052
437	5776
438	3482
439	4045
440	3618
441	710
442	1247
443	528
443	1108
443	4133
443	4748
443	5512
444	3356
445	1269
445	2282
445	4495
446	2417
447	2243
447	4244
448	2493
449	5064
450	3275
451	4930
452	3329
452	4302
453	1466
455	4118
456	605
458	2303
459	4567
460	817
461	2308
461	2423
461	3919
462	3480
464	1968
464	4909
464	5812
465	4000
466	3102
467	585
467	3217
467	3695
467	4844
468	3114
469	673
470	1029
470	1966
470	4201
470	5318
471	2799
472	2204
473	2465
473	2545
474	1988
474	3035
474	3973
475	1464
477	4178
478	3854
479	555
482	1989
483	271
484	992
485	1105
486	2350
487	3835
488	2447
488	2882
489	2061
491	4127
492	3681
493	2660
494	5004
496	3791
497	4870
498	1334
499	3289
500	2656
502	3659
503	4885
504	595
504	4519
505	557
505	1371
505	4492
505	5660
506	4712
507	425
508	3892
509	5175
510	1859
511	3739
512	306
513	1141
513	3594
513	4583
515	147
516	484
517	472
518	1535
519	3642
520	762
520	1839
520	3197
520	3661
520	6036
521	3743
522	2369
524	990
525	1843
526	916
527	4755
528	2587
529	4279
531	1808
532	2548
533	830
533	3358
534	2125
535	3033
536	1424
537	848
538	1087
538	1961
538	4894
539	419
541	495
542	1067
542	5109
543	1218
543	1681
543	3530
543	5060
544	3903
545	4956
547	2591
547	3007
548	3216
548	3785
549	991
549	4549
550	4794
551	2507
552	1031
553	3031
554	538
554	1845
554	3183
555	5274
556	11
557	1929
559	1226
560	2891
561	2451
562	3226
563	4535
564	3116
565	3886
566	350
567	522
568	4819
569	3559
570	455
570	1183
570	2860
570	3140
571	1722
572	2289
573	3926
574	2082
574	4398
577	940
578	1370
579	4268
580	2062
581	1213
581	4460
581	5415
582	2309
583	5307
584	113
584	1136
584	2422
584	3295
584	5051
585	4703
586	1409
588	4482
589	3215
590	1660
590	3621
591	2916
592	4864
593	3899
594	3885
596	4767
597	1153
598	76
599	1912
600	3254
601	1040
601	5401
601	5705
602	1916
602	3162
602	5299
603	2621
604	1379
606	25
606	5927
607	2424
608	3377
609	923
610	3542
611	2851
611	3762
611	4261
611	4728
612	4593
613	1157
613	2270
613	5574
614	1687
614	5433
614	5983
615	1759
616	4465
617	5259
618	118
619	315
619	624
619	1287
620	3518
621	928
622	1428
623	2506
624	4556
625	4403
627	1904
627	5738
628	1917
628	5284
629	5255
630	333
631	1097
632	4212
633	382
634	377
636	1386
637	2491
638	1458
639	1947
640	4958
641	1799
642	394
642	800
642	2459
642	5085
643	3143
643	3628
643	3921
644	1198
644	1853
645	2471
646	2104
647	1446
648	3334
649	1038
651	365
652	411
652	4242
652	4255
653	1258
653	5338
654	4602
655	561
656	1167
657	4363
658	3472
659	2485
659	3660
661	4769
662	5058
663	870
663	3131
664	2096
664	2713
664	3293
665	4280
666	3547
667	4576
668	119
668	2711
668	4957
668	5249
669	2648
670	1410
671	1770
671	3364
671	4318
672	216
672	1236
672	2770
673	1053
674	4229
675	2781
675	3319
675	4046
675	4741
675	4990
676	2232
676	4917
676	5041
677	3392
678	3309
679	1438
681	1462
682	1503
683	345
683	1422
683	4093
683	5625
684	284
685	3560
687	751
687	2653
687	3609
688	4141
689	179
690	4501
691	4313
692	4023
694	6128
695	5245
696	1615
696	3246
696	4816
697	5068
699	1147
700	4182
701	3904
702	4518
703	2187
704	75
705	3200
705	3808
705	4231
706	1595
707	1973
708	4404
709	1122
709	2048
709	3077
710	3481
711	5200
712	5217
712	5261
713	2448
715	4062
716	968
716	1264
717	1092
717	2158
717	5414
717	5518
718	680
718	4094
718	4395
719	300
720	4721
721	2796
723	2522
724	4578
725	733
726	3846
727	5010
728	1737
729	2171
729	2599
730	2302
731	329
731	2083
731	2484
731	2589
732	1184
733	3227
734	1378
735	2666
735	5220
735	5917
736	2044
737	2042
738	2365
739	2823
740	1063
741	3028
742	889
742	4630
743	3146
744	1732
744	5283
745	5184
746	381
746	2806
746	3625
746	5096
747	1937
748	1887
749	4375
750	4933
751	4759
752	3013
752	4836
753	2956
753	4354
754	4075
755	2137
756	3487
757	637
758	1102
759	2786
760	973
760	1117
760	3600
761	510
762	3264
763	5173
764	2481
765	2538
766	4457
767	2865
768	1208
769	84
770	4750
771	1101
771	2094
771	4061
774	4393
775	3446
776	1586
776	4322
776	4937
776	5320
777	5171
778	3506
779	1372
780	3040
780	5233
781	2550
782	3629
784	1291
784	5197
785	167
787	3525
789	3158
790	1230
790	2355
791	515
791	825
792	4445
793	1880
793	3326
794	418
795	3061
796	3682
797	1899
798	1714
799	3454
800	3066
803	2283
803	5215
804	91
804	2533
804	4321
805	3610
806	2923
806	3148
806	3337
807	747
807	755
807	6085
809	2327
810	1214
810	3021
810	3304
811	296
812	3944
813	681
813	5588
814	2825
815	4291
816	3368
816	5539
816	5685
816	5752
817	799
818	3279
820	3687
821	4315
822	1160
823	5182
824	4879
825	1627
826	4456
826	4813
827	5043
828	446
829	96
829	2690
829	2725
829	4358
830	1201
830	1394
830	5354
830	5410
830	5426
830	5440
830	5472
830	5482
830	5525
830	5537
830	5558
830	5571
830	5572
830	5597
830	5613
830	5615
830	5659
830	5675
830	5676
830	5684
830	5712
830	5713
830	5717
830	5730
830	5733
830	5735
830	5740
830	5744
830	5746
830	5757
830	5763
830	5791
830	5824
830	5830
830	5832
830	5844
830	5871
830	5891
830	5900
830	5970
830	6001
830	6009
830	6048
830	6064
830	6081
830	6149
830	6153
831	182
831	547
831	3731
832	883
832	3784
833	83
834	3379
836	905
837	2341
837	3283
838	45
838	2221
838	3448
839	462
840	82
841	4744
842	4952
843	1863
844	497
844	4448
