0	497
1	207
2	829
3	1615
4	1024
5	458
6	106
7	829
8	408
9	1321
10	1325
11	1413
12	489
13	1319
14	1577
15	290
16	1441
17	179
18	642
19	147
20	27
21	1332
22	487
23	754
24	249
25	419
26	1114
27	1358
28	444
29	1454
30	400
31	999
32	1156
33	1526
34	152
35	1431
36	817
37	1208
38	1485
39	705
40	964
41	1358
42	424
43	1500
44	1302
45	999
46	453
47	1260
48	1214
49	385
50	1584
51	58
52	220
53	1524
54	441
55	1047
56	506
57	1529
58	735
59	591
60	510
61	600
62	330
63	497
64	1127
65	1431
66	1364
67	597
68	1198
69	72
70	1146
71	892
72	163
73	1445
74	276
75	777
76	1175
77	105
78	1094
79	1245
80	871
81	403
82	1416
83	409
84	260
85	801
86	113
87	1523
88	1604
89	951
90	747
91	1476
92	1609
93	1186
94	263
95	1621
96	1417
97	1137
98	1422
99	1431
100	819
101	1413
102	410
103	1145
104	1451
105	685
106	517
107	1243
108	834
109	1105
110	148
111	96
112	78
113	1431
114	370
115	174
116	366
117	823
118	869
119	9
120	157
121	1355
122	310
123	1391
124	403
125	273
126	215
127	823
128	1552
129	489
130	312
131	1344
132	184
133	38
134	1408
135	224
136	481
137	1607
138	1234
139	1413
140	665
141	788
142	198
143	914
144	339
145	98
146	1085
147	1272
148	491
149	240
150	545
151	1106
152	1481
153	1243
154	316
155	124
156	208
157	1022
158	213
159	649
160	839
161	1241
162	860
163	1412
164	1413
165	789
166	1207
167	1510
168	609
169	1139
170	31
171	286
172	1122
173	1267
174	909
175	745
176	1343
177	828
178	1609
179	1201
180	207
181	247
182	1397
183	160
184	800
185	8
186	143
187	126
188	296
189	947
190	240
191	363
192	1391
193	1448
194	696
195	1355
196	1537
197	1250
198	273
199	989
200	855
201	1564
202	671
203	1344
204	564
205	675
206	1035
207	1583
208	450
209	86
210	1591
211	289
212	727
213	1210
214	909
215	1286
216	403
217	1483
218	1431
219	1161
220	483
221	1430
222	1453
223	836
224	488
225	317
226	239
227	1372
228	424
229	286
230	909
231	240
232	909
233	342
234	1330
235	165
236	889
237	558
238	829
239	348
240	1070
241	180
242	1200
